Chapter,ID,Name,Type,Description,AI_Image_Prompt
1,area_1_1,Fisherman's Cove,Subarea,"A sandy inlet littered with sea-glass and driftwood.","Cinematic dark fantasy: A secluded sandy inlet at dawn, piles of sea-glass and bleached driftwood, turquoise water with heavy mist, Seriphos coastline."
1,area_1_2,The Jagged Reefs,Subarea,"Volcanic black rocks jutting from the surf.","Cinematic dark fantasy: Sharp volcanic black rocks jutting from white surf, low-angle shot, crashing waves, ship wreckage caught in stones."
1,area_1_3,Dictys' Humble Hut,Subarea,"A salt-encrusted stone shack on a cliffside.","Cinematic dark fantasy: A small stone shack on a cliffside, drying fishing nets, warm light flickering from a window, weathered and humble."
1,area_1_4,The Shifting Tidepool,Subarea,"A swirling pool reflecting ancient treasures.","Cinematic dark fantasy: A swirling crystal-clear pool in a limestone basin, reflecting a golden storm in the sky above, ethereal glow."
1,area_1_5,The Sunken Pier,Subarea,"Decayed wooden structure half-submerged.","Cinematic dark fantasy: Decayed wooden beams submerged in clear water, pillars covered in green barnacles and kelp, schools of fish."
1,area_1_6,The Salt-Marshes,Subarea,"Labyrinth of tall sea-grass and briny pools.","Cinematic dark fantasy: Labyrinth of tall golden sea-grass, shallow briny pools, atmospheric ground fog, silhouettes of gnarled trees."
1,area_1_7,Lighthouse of Whispers,Subarea,"Stone tower with a ghostly blue light.","Cinematic dark fantasy: Abandoned stone lighthouse, a ghostly blue light beam cutting through fog, crumbling spiral stairs."
1,area_1_8,Net-Mender's Yard,Subarea,"Workspace with large wooden looms and netting.","Cinematic dark fantasy: Outdoor workshop, large wooden looms with unfinished hemp nets, piles of lead sinkers, shadows of the sun."
1,area_1_9,Grotto of Danae,Subarea,"Hidden cave behind a waterfall with a golden glow.","Cinematic dark fantasy: Cave interior behind a waterfall, damp walls glowing with faint golden dust, single shaft of light on the floor."
1,area_1_10,The Smuggler's Run,Subarea,"Narrow cliffside path with memory-mist.","Cinematic dark fantasy: Narrow cliffside path, steep drops to the ocean, memory-mist acting as a physical wall of white smoke."
1,item_001,The Harpe,Item,"A curved adamantine sickle-sword, notched and rusted.","Cinematic dark fantasy: A curved adamantine sickle-sword, notched and rusted, leather-wrapped hilt, faint glowing Greek runes."
1,item_005,The Ark of Danae,Item,"A weathered cedar chest with rusted iron bands.","Cinematic dark fantasy: Weathered cedar chest, rusted iron bands, carvings of golden rain revealed beneath layers of rot."
1,item_010,Anchor of Danae,Item,"A bronze locket containing a braid of hair.","Cinematic dark fantasy: Small bronze heart locket, containing a braid of golden hair, radiating soft warmth."
1,item_020,Savior's Snare,Item,"A sturdy net reinforced with lead weights.","Cinematic dark fantasy: Heavy fishing net, lead weights shaped like fish, golden threads woven into coarse hemp."
1,char_001,Fisher,Character,"Real Name: Perseus. A rugged man with amnesia living as a simple fisherman.","Cinematic dark fantasy: A muscular man with salt-and-pepper hair, wearing simple linen tunics, eyes glowing with a faint golden light, standing on a misty shore."
1,char_007,The Net-Maker,Character,"Real Name: Dictys. Perseus's adoptive father who hid him from the Titans.","Cinematic dark fantasy: A kind, elderly fisherman with a deeply lined face, silver beard, wearing heavy oilskins and holding a wooden shuttle."
1,char_019,The Apprentice,Character,"Real Name: Glaucus. A young orphan who looks up to 'Fisher' as a mentor.","Cinematic dark fantasy: A small, energetic boy with sun-bleached hair and a wooden owl toy, wearing tattered sandals on a stone dock."
2,area_2_1,The Shadow Grove,Subarea,"Twisted thicket where light is consumed.","Cinematic dark fantasy: A twisted thicket where light is consumed by the canopy, phantoms of petrified victims, deep purples and greys."
2,area_2_2,The Shore of Sacrifice,Subarea,"Bleak beach with rhythmic breathing sounds.","Cinematic dark fantasy: A rocky beach at night, huge crashing waves, the silhouette of a massive sea monster beneath the water."
2,area_2_3,Cassiopeia's Mirror Pond,Subarea,"Stagnant pond reflecting vanity.","Cinematic dark fantasy: A stagnant pond with a mirror-like surface, distorted reflections, surrounding trees draped in weeping vines."
2,area_2_4,The Thicket of Reach,Subarea,"Trees with branches like grasping fingers.","Cinematic dark fantasy: Sentient trees with branches that look like reaching hands, claustrophobic atmosphere, glowing purple sap."
2,area_2_5,The Howling Canopy,Subarea,"Upper forest layer with whistling bark.","Cinematic dark fantasy: Looking up into a dense forest canopy, wind whistling through holes in the bark, birds of prey circling."
2,area_2_6,The Altar of the Sea-Beast,Subarea,"Crumbling stone platform stained with brine.","Cinematic dark fantasy: Ancient stone altar at a cliff's edge, stained with sea salt, view of a dark and violent ocean."
2,area_2_7,The Roots of Hubris,Subarea,"Subterranean roots pulsing with purple light.","Cinematic dark fantasy: Massive glowing tree roots underground, pulsing with purple energy, dark tunnels, bioluminescence."
2,area_2_8,The Petal-Storm Clearing,Subarea,"Space masked by falling white petals.","Cinematic dark fantasy: A forest clearing during a storm of white petals, low visibility, a shimmering female ghost in the center."
2,area_2_9,The Ancient Wayfarer's Path,Subarea,"Paved stone road swallowed by the forest.","Cinematic dark fantasy: A Roman-style stone road overgrown with massive roots, glowing golden feathers scattered on the ground."
2,area_2_10,The Brackish Bog,Subarea,"Swampy transition sinking into the earth.","Cinematic dark fantasy: A dark swamp with bubbling gas, trees sinking into the muck, entrance to a dark cave in the distance."
2,item_002,The Aegis,Item,"A shimmering bronze shield with Medusa's face.","Cinematic dark fantasy: Polished bronze circular shield, a smoky face of a woman with snakes for hair rippling under the surface."
2,item_014,The Trident's Point,Item,"A three-pronged spear corroded by salt.","Cinematic dark fantasy: Massive gleaming celestial bronze trident head attached to a new shaft, dripping with sea water."
2,item_017,Chains of Sacrifice,Item,"Glowing silver chains that extend as if alive.","Cinematic dark fantasy: Heavy silver chains that glow with an ethereal light, pulsating as if they have a heartbeat."
2,char_003,The Echo,Character,"Real Name: Andromeda. A shimmering phantom who guides Perseus through his heart.","Cinematic dark fantasy: A beautiful woman made of starlight and sea-mist, wearing translucent flowing robes, glowing eyes, ethereal appearance."
2,char_016,The Devourer,Character,"Real Name: Cetus. A massive sea leviathan that haunts the coast.","Cinematic dark fantasy: A colossal prehistoric sea monster with jagged scales, multiple rows of teeth, and bioluminescent eyes lurking under dark waves."
2,char_017,The Vain Shadow,Character,"Real Name: Cassiopeia. A queen cursed to wander the woods for her narcissism.","Cinematic dark fantasy: A pale woman in tattered royal finery, dripping with leaden jewelry, her face reflected as a monster in the mirror pond."
2,char_006,The Grey-Eyed Woman,Character,"Real Name: Athena. The divine patron who appears in reflections to offer wisdom.","Cinematic dark fantasy: A tall woman in polished bronze hoplite armor, owl-crested helmet, grey eyes that glow with tactical brilliance."
3,area_3_1,The Hall of Whispers,Subarea,"A corridor where footsteps echo as voices.","Cinematic dark fantasy: A sheer stone corridor, dark and oppressive, floating silver particles representing whispers."
3,area_3_2,The Chamber of the Single Eye,Subarea,"Circular room filled with dust and copper smell.","Cinematic dark fantasy: A dusty circular cavern, three hags huddled in the center, a single glowing orb illuminating the room."
3,area_3_3,The Styx Tributary,Subarea,"Cold underground river flowing to the underworld.","Cinematic dark fantasy: A black underground river, glowing blue spirits on the banks, a low stone bridge."
3,area_3_4,The Labyrinth of Echoes,Subarea,"Maze where heartbeat sounds like a drum.","Cinematic dark fantasy: A geometric stone maze, deep shadows, distorted reflections of the protagonist on the walls."
3,area_3_5,The Fissure of Silence,Subarea,"Deep crack where all sound is absorbed.","Cinematic dark fantasy: A bottomless abyss in the cave floor, absolute darkness below, glowing runes on the edges."
3,area_3_6,The Three Sisters' Hearth,Subarea,"Room filled with discarded hero memories.","Cinematic dark fantasy: A room filled with piles of junk, rusted armor, and glowing memory shards, three ancient hags."
3,area_3_7,The Vein of Obsidian,Subarea,"Walls lined with sharp, humming glass.","Cinematic dark fantasy: A tunnel of jagged black obsidian, reflecting a purple internal glow, sharp edges."
3,area_3_8,The Grotto of Blindness,Subarea,"Room filled with thick, magical smoke.","Cinematic dark fantasy: A cave filled with dense grey smoke, silhouettes of statues, a single path of light on the floor."
3,area_3_9,The Tunnel of Lost Names,Subarea,"Walls etched with thousands of forgotten names.","Cinematic dark fantasy: Stone walls covered in ancient Greek carvings of names, some glowing, some fading."
3,area_3_10,The Vault of the Unseen,Subarea,"Massive door made of pure shadow.","Cinematic dark fantasy: A giant door made of swirling black smoke, etched with a single glowing eye."
3,item_006,Eye of the Graeae,Item,"A translucent stone that projects light.","Cinematic dark fantasy: A cataract-clouded glass orb that projects a beam of pure white light, held in a bronze hand-mount."
3,item_011,Helm of Darkness,Item,"An obsidian-black helmet shimmering with smoke.","Cinematic dark fantasy: Sleek obsidian helmet with a skull faceplate, edges of the helmet blurred as if phasing out of reality."
3,item_016,Fang of Knowledge,Item,"A sharp, curved tooth dripping with ink.","Cinematic dark fantasy: A foot-long yellowed ivory tooth from a sea monster, dripping with glowing purple ink."
3,char_009,The Hags,Character,"Real Name: The Graeae. Three sisters who share a single eye and know all secrets.","Cinematic dark fantasy: Three hunched, ancient women with grey skin and sightless eyes, draped in tattered rags, huddled around a single glowing crystal eye."
3,char_002,The Weaver,Character,"Real Name: Mnemosyne. The Titaness of Memory and the architect of the labyrinth.","Cinematic dark fantasy: A towering goddess made of liquid silver and starlight, weaving a glowing tapestry of threads that represent human lives."
4,area_4_1,The Golden Orchard,Subarea,"Floating orchard with glowing fire-apples.","Cinematic dark fantasy: High-altitude garden, floating islands, trees with glowing golden apples, perpetual sunset."
4,area_4_2,The Zephyr Cliffs,Subarea,"Sheer drops with strong winds.","Cinematic dark fantasy: Floating marble cliffs, clouds passing through the rocks, a winged god standing on the edge."
4,area_4_3,The Tree of Eternal Twilight,Subarea,"Massive silver-barked tree at the world's edge.","Cinematic dark fantasy: A gargantuan silver tree reaching into a starry purple sky, glowing leaves, high-contrast lighting."
4,area_4_4,The Nymphs' Spring,Subarea,"Fountain of liquid light for memory clarity.","Cinematic dark fantasy: A marble fountain with liquid silver water, glowing nymph statues, lush golden flowers."
4,area_4_5,The Meadow of Sunset,Subarea,"Endless field of orange flowers.","Cinematic dark fantasy: A vast meadow of glowing orange flowers, a massive sun sitting on the horizon, ethereal calm."
4,area_4_6,The Breezeway Pillars,Subarea,"Marble pillars drifting through the clouds.","Cinematic dark fantasy: Broken marble columns floating in a blue sky, connected by glowing bridges of light."
4,area_4_7,The Sky-Watch Tower,Subarea,"Observatory looking down on the world.","Cinematic dark fantasy: A tall white stone tower with an open observatory, a massive telescope pointed at the world below."
4,area_4_8,The Floating Lily-Pads,Subarea,"Giant leaves floating on a sea of clouds.","Cinematic dark fantasy: Massive green leaves floating on thick white clouds, sinking slightly as someone stands on them."
4,area_4_9,The Cloud-Bridge Path,Subarea,"Path of mist that solidifies with speech.","Cinematic dark fantasy: A path made of white mist stretching across a void, footsteps creating solid ripples in the air."
4,area_4_10,The Gate of the West,Subarea,"Massive portal with Four Wind statues.","Cinematic dark fantasy: A giant gold-rimmed portal in the sky, four massive stone statues blowing air toward the center."
4,item_003,The Talaria,Item,"Winged sandals with golden light.","Cinematic dark fantasy: Classic Greek sandals with three small wings on each heel, bursting with golden light sparks."
4,item_004,The Kibisis,Item,"A burlap bag with infinite storage.","Cinematic dark fantasy: A simple burlap bag embroidered with gold threads in an Ouroboros pattern, glowing purple interior."
4,item_013,Caduceus Fragment,Item,"A golden staff fragment with silver serpents.","Cinematic dark fantasy: A piece of a golden staff with two silver serpents coiled around it, glowing with healing energy."
4,char_004,The Vagabond,Character,"Real Name: Hermes. The god of thieves and travel who guides Perseus indirectly.","Cinematic dark fantasy: A slender man with a mischievous grin, wearing a traveler's cloak and a wide-brimmed hat, sparks of electricity on his feet."
4,char_013,The Garden Tenders,Character,"Real Name: The Hesperides. Nymphs of the sunset who guard the golden apples.","Cinematic dark fantasy: Three ethereal maidens with sunset-colored skin and hair, wearing robes of woven cloud, glowing with a soft amber light."
4,char_020,The North Wind,Character,"Real Name: Boreas. A cold, aggressive entity that tests Perseus's flight.","Cinematic dark fantasy: A massive old man with a beard of frost and wings of ice, blowing a gale of snow from his mouth, fierce expression."
5,area_5_1,The Glass Stair,Subarea,"Spiraling obsidian path cutting into clouds.","Cinematic dark fantasy: A spiraling staircase made of black glass, ascending into dark storm clouds, lightning in the distance."
5,area_5_2,The Mirror Lair,Subarea,"Cave lined with volcanic glass.","Cinematic dark fantasy: A cavern where every surface is a mirror, multiple reflections of a hero and a snake-haired woman."
5,area_5_3,The Peak of Rebirth,Subarea,"Highest point where air smells of stardust.","Cinematic dark fantasy: A mountaintop under a starry sky, a white winged horse emerging from a pool of light."
5,area_5_4,The Caldera of Guilt,Subarea,"Volcano mouth with liquefied regrets.","Cinematic dark fantasy: Inside a volcano, glowing orange and purple liquid, a small island in the center with a glowing sword."
5,area_5_5,The Obsidian Shards,Subarea,"Field of razor-sharp stone.","Cinematic dark fantasy: A landscape of sharp black crystals, low mist, silhouettes of stealthy figures."
5,area_5_6,The Reflection Flats,Subarea,"Flat plain of obsidian acting as a mirror.","Cinematic dark fantasy: A perfectly flat black plain reflecting the stars and a tall armored woman with a spear."
5,area_5_7,The Smoke-Pipe Vents,Subarea,"Natural stone pipes blasting hot air.","Cinematic dark fantasy: Geothermal vents on a mountain slope, thick white steam blasting upward, someone gliding above."
5,area_5_8,The Serpent's Shed Skin,Subarea,"Petrified snakeskins forming tunnels.","Cinematic dark fantasy: Tunnels made of iridescent petrified snakeskin, glowing green moss, winding paths."
5,area_5_9,The Crag of the Fallen,Subarea,"Cliff with statues of failed heroes.","Cinematic dark fantasy: A jagged cliffside littered with broken stone statues of warriors in terrified poses."
5,area_5_10,The Lava-Fall Grotto,Subarea,"Hidden chamber behind a curtain of fire.","Cinematic dark fantasy: A secret cave behind a waterfall of lava, golden artifacts glowing on a pedestal."
5,item_007,Medusa's Tear,Item,"A teardrop-emerald in petrified skin.","Cinematic dark fantasy: A teardrop-shaped emerald gemstone encased in petrified snakeskin, pulsing with green light."
5,item_012,Medusa's Head,Item,"Decapitated head with writhing serpents.","Cinematic dark fantasy: A burlap bundle that shows a glowing green eye and a writhing snake through a small tear."
5,item_018,Pegasus Quill,Item,"A glowing white primary feather.","Cinematic dark fantasy: A large, stiff white feather that glows with stardust, shimmering with a rainbow oily sheen."
5,char_008,The Reflection,Character,"Real Name: Medusa. A tragic monster who represents Perseus's guilt.","Cinematic dark fantasy: A woman with beautiful, sorrowful eyes and a nest of writhing emerald-green serpents for hair, skin made of cracked stone."
5,char_014,The Winged Phantom,Character,"Real Name: Pegasus. A divine mount born from the death of the Medusa memory.","Cinematic dark fantasy: A magnificent pure-white stallion with giant feathered wings, galloping through a sky of stardust and purple clouds."
6,area_6_1,The Silent Banquet,Subarea,"Dining hall with stone guests.","Cinematic dark fantasy: A grand palace dining hall, stone statues of people at a table, cold blue lighting."
6,area_6_2,The Gallery of Statues,Subarea,"Hall showcasing stone victories.","Cinematic dark fantasy: A long corridor filled with lifelike stone statues of warriors, highly detailed, dramatic shadows."
6,area_6_3,The Tower of Danae,Subarea,"Spire locked by golden chains.","Cinematic dark fantasy: A tall stone tower wrapped in massive glowing golden chains, set against a dark Argos sky."
6,area_6_4,The Throne Room of Stone,Subarea,"Cold and lifeless center of power.","Cinematic dark fantasy: A massive throne room, a king made of stone sitting on a dark throne, shafts of moonlight."
6,area_6_5,The Courtyard of Regret,Subarea,"Garden with iron flowers and ink water.","Cinematic dark fantasy: A palace garden where the plants are made of black metal, a fountain spraying black ink."
6,area_6_6,The Royal Armory,Subarea,"Room filled with legendary weapons.","Cinematic dark fantasy: A stone vault filled with glowing bronze weapons, shields on the walls, dust motes in the air."
6,area_6_7,The Prince's Bedchamber,Subarea,"Room with childhood toys and a cradle.","Cinematic dark fantasy: A dusty bedroom in a palace, a wooden cradle, a single glowing toy on the floor."
6,area_6_8,The Dungeon of Shadows,Subarea,"Deep palace area with Titan influence.","Cinematic dark fantasy: A dark prison cell, silver mist leaking through the bars, glowing Greek symbols on the walls."
6,area_6_9,The Grand Balcony,Subarea,"Overlook toward the Atlas Mountains.","Cinematic dark fantasy: A wide marble balcony, view of distant mountain peaks, a white winged horse waiting."
6,area_6_10,The Kitchen of Famine,Subarea,"Room with food turned to ash.","Cinematic dark fantasy: A large palace kitchen, baskets of food turned to grey ash, a single glowing bag on a table."
6,item_015,Owl Mask,Item,"A marble mask with blue intellectual energy.","Cinematic dark fantasy: A regal white marble mask of an owl, eyes glowing with bright blue light when worn."
6,item_009,Fragment of Atlas,Item,"A jagged piece of black granite.","Cinematic dark fantasy: A heavy jagged piece of black granite, humming with gravity, creating a small crater in the ground."
6,char_011,The Stone King,Character,"Real Name: Polydectes. The cruel usurper who tried to force Perseus's mother into marriage.","Cinematic dark fantasy: A king in regal purple robes whose flesh is slowly turning into cracked granite, sitting on a cold throne with a sneer."
6,char_012,The Fearful Elder,Character,"Real Name: Acrisius. Perseus's grandfather who is haunted by the prophecy of his death.","Cinematic dark fantasy: An old man with a crown of thorns, trembling with fear, surrounded by a swirling storm of golden coins."
6,char_010,The Prisoner,Character,"Real Name: Danae. Perseus's mother, trapped in a tower of gold.","Cinematic dark fantasy: A woman with long golden hair, wearing a gown of sunbeams, standing inside a shimmering golden cage in a high tower."
6,char_018,The Rival,Character,"Real Name: Phineus. A jealous warrior who mimics Perseus's abilities.","Cinematic dark fantasy: A warrior in shadow-covered black armor, wielding a dark reflection of the Harpe, face hidden by a visored helm."
7,area_7_1,The Gravity Siphon,Subarea,"Area where the ground falls upward.","Cinematic dark fantasy: A landscape where rocks and dirt are floating toward the sky, distorted perspective."
7,area_7_2,The Shoulder of the Giant,Subarea,"Plateau on the ridge of Atlas.","Cinematic dark fantasy: A massive mountain ridge that looks like skin and muscle, clouds below, a giant stone face."
7,area_7_3,The Astral Bridge,Subarea,"Path of light that exists by belief.","Cinematic dark fantasy: A translucent bridge made of constellations, stretching into a starry void."
7,area_7_4,The Thin-Air Pass,Subarea,"Narrow ledge with fast stamina drain.","Cinematic dark fantasy: A very narrow snowy ledge, high altitude, freezing winds, blue-tinted lighting."
7,area_7_5,The Weightless Ravine,Subarea,"Canyon with zero gravity.","Cinematic dark fantasy: A canyon where boulders and trees are floating in 3D space, shards of ice suspended in air."
7,area_7_6,The Titan's Knuckle,Subarea,"Outcrop resembling a massive fist.","Cinematic dark fantasy: A rock formation that looks like a giant's hand, shaking and causing avalanches."
7,area_7_7,The Star-Gazer's Ledge,Subarea,"Point with massive burning stars.","Cinematic dark fantasy: A ledge overlooking a cosmic nebula, stars that look like burning gold spheres."
7,area_7_8,The Frost-Bite Ridge,Subarea,"Path covered in magical ice.","Cinematic dark fantasy: A mountain path covered in glowing blue ice, frozen statues of animals, biting winds."
7,area_7_9,The Cloud-Piercing Spire,Subarea,"The literal top of the world.","Cinematic dark fantasy: A sharp peak above all clouds, the curvature of the earth visible in the background."
7,area_7_10,The Gate of Tartarus,Subarea,"Massive rift in the sky.","Cinematic dark fantasy: A swirling purple and black rift in the atmosphere, lightning, a hero diving into the void."
7,item_019,Thunderbolt Shard,Item,"A jagged crystalline shard of electricity.","Cinematic dark fantasy: A jagged shard of pure electricity, crackling with white and blue sparks, glowing intensely."
7,char_005,The Sky-Bearer,Character,"Real Name: Atlas. The Titan forced to hold the heavens, seeking revenge on Perseus.","Cinematic dark fantasy: A mountain-sized giant with skin of cracked stone, holding a swirling sphere of stars and cosmos on his shoulders."
8,area_8_1,The Silver Conflux,Subarea,"Center where all memories flow.","Cinematic dark fantasy: A white void filled with floating silver liquid, hundreds of memory shards swirling in a vortex."
8,area_8_2,The Repository of Lost Ages,Subarea,"Library of stone tablets.","Cinematic dark fantasy: An infinite library of stone tablets, glowing text, a silver river running between shelves."
8,area_8_3,The Heart of the Weaver,Subarea,"White void pulsing with silver light.","Cinematic dark fantasy: A blinding white void, a giant woman made of silver threads weaving a tapestry of stars."
8,area_8_4,The Corridor of Childhood,Subarea,"Tunnel of shifting childhood scenes.","Cinematic dark fantasy: A tunnel made of blurred images of a childhood beach, a small wooden boat, and a mother's face."
8,area_8_5,The Battlefield of Echoes,Subarea,"Recreation of every won fight.","Cinematic dark fantasy: A grey battlefield filled with statues of a hero's past enemies, all facing the center."
8,area_8_6,The Void of Unspoken Words,Subarea,"Silent area with floating thought-text.","Cinematic dark fantasy: A silent black void where glowing Greek words float in the air, shifting and changing."
8,area_8_7,The Mirror of Pure Soul,Subarea,"Mirror reflecting a god of light.","Cinematic dark fantasy: A single standing mirror in a void, reflecting a man made of pure golden light."
8,area_8_8,The River of Mnemos,Subarea,"River of silver liquid memory.","Cinematic dark fantasy: A river of flowing liquid silver, glowing with the images of faces and places."
8,area_8_9,The Shattered Timeline,Subarea,"Area with overlapping versions of history.","Cinematic dark fantasy: A landscape where different times exist at once, a ruin next to a palace, a human next to a gorgon."
8,area_8_10,The Portal to the Waking World,Subarea,"Bright golden light at the end.","Cinematic dark fantasy: A doorway of blinding golden light, a path made of memory shards leading through it."
8,char_015,The Golden Rain,Character,"Real Name: Zeus. The King of the Gods and Perseus's father, appearing as a storm.","Cinematic dark fantasy: A massive, humanoid storm cloud pulsing with golden lightning, eyes like twin suns, radiating power and thunder."