Chapter,ID,Name,Music_ID,Characters,Key_Items,Story_Progression_Key,AI_Video_Prompt
0,cs_0_1,The Great Forgetting,mus_108,"char_002, char_001","None",Context for Forgotten Memory,"Cinematic panning shot: High above the Aegean, Mnemosyne looms like a constellation, her eyes glowing galaxies. She blows a cloud of silver dust downward. As the dust hits a young Perseus, his glowing bronze armor dissolves into salt-stained rags, and his sharp, heroic eyes turn dull and confused."
0,cs_0_2,The First Dawn,mus_101,"char_001, char_007","None",Character Development: The Birth of Fisher,"Cinematic first-person perspective: Perseus wakes up on a cold, grey beach. His hands are calloused and smell of brine. Dictys kneels over him, calling him 'Fisher' for the first time. Perseus looks at his own hands with profound confusion, the name 'Perseus' dying on his lips in a silent gasp."
1,cs_1_1,The Ghost in the Tide,mus_101,"char_001, char_015","item_010",Discovery of Divine Connection,"Cinematic slow-motion: Close-up on Perseus's weathered, salt-crusted face. As sea-mist hits his skin, the droplets transform into liquid golden rain that defies gravity, floating upward. A faint heart-shaped locket at his waist pulses with a warm, rhythmic amber light."
1,cs_1_2,Touch of the Ark,mus_101,"char_001, char_010","item_001, item_005",Restoration of the Primary Weapon,"Cinematic wide shot: Perseus places a trembling hand on a rotted cedar chest half-buried in sand. Golden light erupts from the cracks, violently stripping the rust off his sickle-sword to reveal gleaming, runic adamantine. The camera shakes as the sound of a woman’s lullaby drowns out the ocean waves."
1,cs_1_3,The Father's Warning,mus_101,"char_001, char_007","item_020",Acceptance of the Hero's Burden,"Cinematic over-the-shoulder: Dictys places a heavy, calloused hand on Perseus's shoulder in the dark Net-Mender's Yard. The blood-red sun sets behind them, casting long, distorted shadows of fishing nets that appear like a complex spiderweb across the stone floor, symbolizing the threads of fate."
1,cs_1_4,The Cracked Reflection,mus_101,"char_001","None",Context for Forgotten Memory,"Cinematic close-up: Fisher looks into a bucket of water to wash his face. As the water settles, the reflection of a king with a golden crown flickers over his own image. He splashes the water in terror, breaking the image, but the camera lingers on his eyes, which briefly flash with divine lightning."
2,cs_2_1,The Starlight Echo,mus_102,"char_001, char_003","None",Guided by Subconscious Love,"Cinematic tracking shot: Perseus stumbles through the Shadow Grove. A shimmering, incandescent silver thread weaves through the petrified, grasping trees to reveal a translucent woman made of starlight standing on a precarious cliff edge, beckoning him deeper into the fog."
2,cs_2_2,Slaying the Shadow,mus_102,"char_001, char_003, char_016","item_002, item_017",Reclamation of the Heroic Name,"Action cinematic: The colossal sea-beast Cetus lunges from the black water in slow-motion. Perseus raises the Mirror-Polished Lid, which erupts in a blinding bronze explosion. As the beast’s shadow disintegrates, Andromeda’s form flickers and suddenly becomes physically solid and breathing."
3,cs_3_1,Stealing the Sight,mus_103,"char_001, char_009","item_006",Mastery over Perception,"Dynamic extreme close-up: In the pitch-black Chamber of the Single Eye, three grey-skinned, blind hags toss a glowing orb with frantic movements. A hand reaches from the absolute darkness, catching the eye mid-air. The entire cavern illuminates in a harsh, white flash that reveals hidden paths on the walls."
3,cs_3_2,The Weaver's Shadow,mus_103,"char_001, char_002","item_011",Revelation of the True Manipulator,"Ethereal wide shot: Perseus dons the Helm of Darkness. The world shifts into a grey-scale photographic negative, revealing glowing silver threads of Mnemosyne attached to his own joints like a marionette. He looks up to see the sky replaced by a giant, cosmic loom."
4,cs_4_1,Race of the Zephyr,mus_104,"char_001, char_004, char_020","item_003",Transcendence of Mortal Speed,"High-speed cinematic: Hermes vanishes in a golden, electric blur. Perseus leaps from the Zephyr Cliffs into the clouds, his tattered sandals suddenly sprouting brilliant, feathered white wings that beat with golden sparks as he breaks the sound barrier in pursuit of the messenger god."
4,cs_4_2,The Divine Bounty,mus_104,"char_001, char_013","item_004",Completion of the Heroic Arsenal,"Cinematic sweeping shot: The three Hesperides stand before the massive, silver-barked Tree of Eternal Twilight. They present the glowing Kibisis. As Perseus grips the bag, the sky overhead rapidly rotates from a golden sunset into a deep, star-filled astral purple."
4,cs_4_3,The Weight of Names,mus_104,"char_001, char_004","item_003",Character Development: Divine Connection,"Cinematic mid-shot: Perseus sits with Hermes on a floating marble pillar. Hermes tosses a winged sandal casually. 'The Titans didn't take your past because you were strong,' Hermes whispers, his face turning serious, 'they took it because you were loved. Love is the only memory that hurts a Titan.'"
5,cs_5_1,The Mirror's Truth,mus_105,"char_001, char_008","item_002, item_012",Confronting the Moral Shadow,"Dramatic mid-shot: Perseus stands in a room of obsidian mirrors. Medusa approaches, her snake-hair writhing in silhouettes. Instead of attacking, he angles the Aegis to show her her own sorrowful reflection. The camera zooms in as emerald tears fall and petrify upon hitting the glass floor."
5,cs_5_2,The Rebirth of Pegasus,mus_105,"char_001, char_014","item_018",Redemption through Sacrifice,"Epic slow-motion: From a swirling vortex of purple memory-mist and white lily petals at the volcano's peak, a magnificent pure-white stallion with ten-foot wings leaps toward the camera. Perseus catches the glowing mane mid-air as they soar through a sky filled with lightning and stardust."
6,cs_6_1,The King of Stone,mus_106,"char_001, char_011","item_012",Execution of Mortal Justice,"Action cinematic: Perseus enters the Silent Banquet hall. He reaches into the glowing Kibisis and reveals Medusa's Head. A ripple of sickly green light washes over King Polydectes, turning his flesh and royal purple silk robes into grey, cracked granite in a single, silent second."
6,cs_6_2,Breaking the Gilded Cage,mus_106,"char_001, char_010","item_015",Reunion and Ancestral Forgiveness,"Emotional close-up: Perseus uses his restored strategic mind to identify a single hairline fracture in the golden chains. He strikes with the Harpe; the chains shatter into sparkling sun-dust. Danae steps forward, her silhouette framed by the morning sun, to finally embrace her son."
7,cs_7_1,The Burden of Atlas,mus_107,"char_001, char_005","item_009",Humility Before Cosmic Magnitude,"Colossal wide shot: Perseus stands on the massive, muscular Shoulder of the Giant. The camera pans up an impossible distance to reveal Atlas holding a swirling, terrifying sphere of the entire cosmos. The ground tremors violently as the Titan speaks, his voice a deep, tectonic rumble that shakes the air."
7,cs_7_2,Heaven's Spark,mus_107,"char_001, char_019","item_019",Divine Recognition of Worth,"Cinematic close-up: Perseus holds the Thunderbolt Shard aloft at the jagged tip of the Cloud-Piercing Spire. A massive bolt of blue lightning strikes the shard. For a flickering moment, the ghost of the boy Glaucus appears, pointing a translucent finger toward the Gate of Tartarus."
8,cs_8_1,The Silver Conflux,mus_108,"char_001, char_002","None",The Unraveling of the Labyrinth,"Surreal cinematic: The various biomes—Seriphos, the Woods, and the Palace—begin to overlap and liquefy into silver rivers. Mnemosyne towers over the melting world, her hands plucking at the silver threads of reality as if playing a harp, while Perseus stands at the center of the storm."
8,cs_8_2,The King's Return,mus_108,"char_001, char_015","item_001, item_019",Apotheosis of the Son of Zeus,"God-tier cinematic: Perseus holds his adamantine sickle-sword toward the sky. A massive, roaring pillar of golden lightning descends, engulfing him. He emerges not as a fisherman, but as a god-slayer glowing with solar fire, with the colossal shadow of Zeus looming in the thunderheads behind him."
8,cs_8_3,Memory Restored,mus_108,"char_001, char_002, char_003","item_001",Unity of the Divided Self,"Epic finale: Perseus slashes through the shimmering Heart of the Weaver. The silver threads snap with the deafening sound of a thousand harp strings breaking at once. The labyrinth shatters like glass, revealing the warm, quiet morning sun over the Seriphos docks as Perseus stands whole."
8,cs_8_4,The Mortal Anchor,mus_101,"char_001, char_007","item_020",Final Meeting with Key Characters,"Cinematic warm-light shot: Perseus returns to the humble hut on Seriphos. He finds Dictys mending a net. Without a word, Perseus sits and helps him tie the knot. Dictys looks up, seeing the God-Slayer, but only smiles and says, 'Good catch today, son.' Perseus's eyes well with tears of recognition."
8,cs_8_5,The Titan’s Echo,mus_107,"char_001, char_005","item_009",Final Meeting with Key Characters,"Cinematic low-angle: Perseus stands before the now-silent Atlas mountain. A single stone tear rolls down the cliffside. Perseus touches the rock, leaving the Harpe's mark as a symbol of peace. The crushing gravity of the plateau lifts, and the sky feels lighter than it has in an eon."
8,cs_8_6,The Weaver’s Remnant,mus_108,"char_001, char_002","None",Context for Forgotten Memory,"Cinematic surreal shot: Amidst the stardust of Mnemosyne's remains, Perseus finds a single glowing silver thread. He absorbs it, and a flood of lost memories—every birthday, every smile from Danae, and every battle cry—fills his mind. His physical form stabilizes, no longer flickering; he is finally whole."
8,cs_8_7,The Promise of Andromeda,mus_108,"char_001, char_003","item_017",Final Meeting with Key Characters,"Cinematic sunset shot: Perseus and Andromeda stand on the white sands of Seriphos. He wraps the silver chains of sacrifice around their wrists, but as he touches them, they turn into glowing silver bracelets. The starlight in her eyes finally matches the fire in his. Fade to black as the sun rises."