ID,Type,Name,Description,AI_Audio_Prompt
mus_101,Music,Seriphos Serenity,Ambient theme for the coast. Calm and nostalgic.,"Ancient Greek lyre melody with gentle ocean waves in the background. Soft wooden flute, slow tempo, peaceful but slightly lonely atmosphere, high-fidelity acoustic."
mus_102,Music,The Petrified Silence,Ambient theme for the woods. Eerie and heavy.,"Dissonant cello swells with a rhythmic wooden knocking. Low-frequency wind howling through hollow pipes, ghostly whispers in the stereo field, dark ambient."
mus_103,Music,Echoes of the Deep,Ambient theme for the caverns. Reverb-heavy.,"Deep metallic drones with long reverb tails. Occasional water droplets hitting crystal, resonant subterranean humming, cavernous and cold."
mus_104,Music,Hesperian Sunset,Ambient theme for the gardens. Ethereal and light.,"Uplifting harp glissandos mixed with shimmering synthesizer pads. High-pitched crystal bells, airy and divine, feeling of floating in the sky."
mus_105,Music,Reflections of Obsidian,Ambient theme for the peak. Tense and rhythmic.,"Fast-paced hand percussion on volcanic stone. Shrill violin tremolos, rhythmic breathing, high-tension cinematic suspense."
mus_106,Music,The Hollow Throne,Ambient theme for the palace. Regal but decayed.,"Echoing chamber strings, a somber solo violin, heavy footsteps on marble reverb, a feeling of faded glory and cold stone."
mus_107,Music,Gravity's End,Ambient theme for the plateau. Cinematic and epic.,"Deep cinematic brass hits, rushing wind soundscapes, high-frequency choral textures, epic and soaring but physically taxing."
mus_108,Music,Mnemonic Vortex,Ambient theme for the final well. Abstract.,"Abstract shifting synthesizers, reversed vocal textures, white noise sweeps, chaotic but beautiful, breaking the laws of physics."

amb_101

sfx_201,SFX,Harpe Strike,Sound of the sickle sword.,"A sharp metallic shink followed by a high-pitched shimmering resonance. Sounds of cutting through thick glass and celestial bronze."
sfx_202,SFX,Aegis Hum,Passive sound of the shield.,"A low-frequency bronze vibration, rhythmic like a heartbeat. Occasional snake hisses buried in the low-end, protective and ancient."
sfx_203,SFX,Talaria Flutter,Sound of the winged sandals.,"Soft rapid feathered fluttering mixed with golden magical sparks and a light wind-whoosh. Light and agile."
sfx_204,SFX,Medusa's Petrify,Sound of the head's activation.,"A sudden explosion of stone-grinding sound followed by a high-frequency digital glitch and a woman's fading scream."
sfx_205,SFX,Thunderbolt Crackle,Sound of the lightning shard.,"Aggressive electric arcing, high-voltage snapping, ozone-burning sizzle, energetic and dangerous."
sfx_206,SFX,Kibisis Void,Sound of opening the magic bag.,"A deep vacuum whoosh followed by a subtle multidimensional echo. Sounds like a portal opening into a vast empty space."
sfx_207,SFX,Memory Shard Pickup,Sound of reclaiming memory.,"A crystal-clear chime with a short upward pitch-bend. Sounds like glass being repaired and a warm 'ah' vocal layer."